	A1004	Arecibo 	Arecibo Observatory
	3997	NASA	NASA
3997	120422	CAB Madrid	Center for Astrobiology, Madrid
3997	226557	NSSTC	National Space Science and Technology Center
3997	285989	Sp Life Sci Lab	Space Life Sciences Laboratory
3997	43834	NASA JSC	NASA Johnson Space Center
3997	53406	NASA Ames	NASA Ames Research Center
3997	53410	NASA JFK Sp Ctr	NASA John F. Kennedy Space Center
3997	53411	NASA JPL	NASA Jet Propulsion Laboratory
3997	53522	NASA John Glenn	NASA John H. Glenn Research Center
3997	53523	NASA GSFC	NASA Goddard Space Flight Center
3997	53524	NASA Langley	NASA Langley Research Center
3997	53525	NASA MSFC	NASA Marshall Space Flight Center
3997	97057	NASA Wallops	NASA Wallops Flight Facility
3997	97058	Goddard Inst Sp Stud	Goddard Institute for Space Studies
	4019	U Hull	University of Hull, UK
	4036	Lockheed Martin	Lockheed Martin Corporation
4036	325340	Lockheed Martin Palo Alto	Lockheed Martin, Palo Alto
4036	61837	Lockheed Martin Denver	Lockheed Martin, Denver
4036	A1225	Lockheed Martin Houston	Lockheed Martin, Houston
	4038	Sam Houston St U	Sam Houston State University
	4065	Butler U	Butler University
	4083	U Iowa	University of Iowa
4083	A1111	U Iowa Dep Phy Ast	University of Iowa, Department of Physics and Astronomy
	4095	ExxonMobil	ExxonMobil Corporation
4095	7952	Imperial Oil	Imperial Oil Ltd
	4102	Ithaca Coll	Ithaca College
	4114	Jackson St U	Jackson State University
	4127	U N Fl	University of North Florida
	4154	E Tenn St U	East Tennessee State University
	4156	DuPont	EI Dupont Nemours Corporation
	4168	U Jyvaskyla	University of Jyvaskyla
4168	154279	U Jyvaskyla Dep Phy	University of Jyvaskyla, Department of Physics
	4174	Kalamazoo Coll	Kalamazoo College
	4175	West Mich U	Western Michigan University
	4180	Linnaeus U Kalmar 	Linnaeus University, Kalmar
	4194	Rockhurst U	Rockhurst University
	4202	U Kansas	University of Kansas
4202	273886	Kansas Geo Surv	University of Kansas, Kansas Geological Survey
4202	A1107	U Kansas Dep Phy Ast	University of Kansas, Department of Physics and Astronomy
	4209	Karlstad U	Karlstad University
	4212	Keele U	Keele University, UK
4212	218230	Keele U Sch Geog Geol Env	Keele University, School of Geography, Geology and the Environment
4212	218232	Keele U Dep Phy Astrop	Keele University, Department of Physics and Astrophysics
	4224	Carthage Coll	Carthage College
	4251	Austr Antarc Div	Australian Antarctic Division
	4257	Queens U Can	Queens University, Canada
4257	A1744	Queens U Dep Phy Ast	Queens University, Department of Physics and Astronomy
	4260	URI	University of Rhode Island
	4264	Kingston U	Kingston University, UK
	4285	U Tenn	University of Tennessee
4285	14733	U Tenn Chattanooga	University of Tennessee, Chattanooga
4285	14734	U Tenn Martin	University of Tennessee, Martin
4285	271625	U Tenn Dep Earth Plan Sci	University of Tennessee, Department of Earth and Planetary Sciences
4285	312342	U Tenn Dep Phy Ast	University of Tennessee, Department of Physics and Astronomy
4285	83490	U Tenn Sp Inst	University of Tennessee, Space Institute
	4321	U Copenhagen	University of Copenhagen
4321	111186	U Copenhagen Geo Mus	University of Copenhagen, Geological Museum
4321	56602	U Copenhagen Niels Bohr Inst	Niels Bohr Institute for Astronomy, Physics and Geophysics
4321	87001	U Copenhagen Nat Hist Mus	University of Copenhagen, Natural History Museum
	4334	U Sydney	University of Sydney
4334	144899	U Sydney Dep Phy	University of Sydney, Department of Physics
4334	150706	U Sydney Dep Geos	University of Sydney, Department of Geosciences
4334	A1666	U Sydney Dep Ast	University of Sydney, Department of Astronomy
4334	A1679	Cornell Sydney U	Cornell Sydney University
	4365	U Louisiana	University of Louisiana
	4377	Lake Forest Coll	Lake Forest College
	4396	Lancaster U	Lancaster University, UK
4396	151562	Lancaster U Dep Env Sci	Lancaster University, Department of Environmental Science
4396	151566	Lancaster U Dep Phy	Lancaster University, Department of Physics
	4400	Franklin Marshall Coll	Franklin and Marshall College
	4402	Trinity West U	Trinity Western University, Canada
	4403	Langston U	Langston University
	4415	Lappeenranta U	Lappeenranta University of Technology, Finland
	4416	U Wyoming	University of Wyoming
4416	A1182	U Wyoming Dep Phy Ast	University of Wyoming, Department of Physics and Astronomy
4416	A1183	U Wyoming Dep Geol Geop	University of Wyoming, Department of Geology and Geophysics
	4423	NMSU	New Mexico State University
4423	52622	NMSU Carlsbad	New Mexico State University, Carlsbad
4423	A1170	NMSU Dep Ast	New Mexico State University, Department of Astronomy
4423	A1171	NMSU Dep Phy	New Mexico State University, Department of Physics
	4425	NM Highlands U	New Mexico Highlands University
	4430	St Vincent Coll	Saint Vincent College
	4440	Laval U	Laval University
4440	A1729	CRAQ	Center for Research in Astrophysics of Quebec
4440	A1730	Mont Megantic Obs	Mont Megantic Observatory
4440	A1731	Laval U Dep Phy	Laval University, Department of Physics
	4444	Rider U	Rider University
	4455	Cumberland U	Cumberland University
	4467	Metro U Leeds	Leeds Metropolitan University, UK
	4468	U Leeds	University of Leeds, UK
4468	150512	U Leeds Sch Phy Ast	University of Leeds, School of Physics and Astronomy
4468	413466	U Leeds Sch Earth Env	University of Leeds, School of Earth and Environment
	4487	Montfort U	De Montfort University, UK
	4488	U Leicester	University of Leicester, UK
4488	150482	U Leicester Dep Phy Ast	University of Leicester, Department of Physics and Astronomy
	4496	U Leiden	Universiteit Leiden
4496	201229	U Leiden Inst Chem	Universiteit Leiden, Institute of Chemistry
4496	220725	U Leiden Lorentz Inst Theo Phy	Universiteit Leiden, Lorentz Institute for Theoretical Physics
4496	A1239	Leiden Obs	Leiden Observatory
	4509	Bishops U	Bishops University, Canada
	4512	U Lethbridge	University of Lethbridge, Canada
4512	A1728	U Lethbridge Dep Phy	University of Lethbridge, Department of Physics
	4517	Bucknell U	Bucknell University
	4521	Bates Coll	Bates College
	4530	U Kentucky	University of Kentucky
4530	174524	U Kentucky Dep Ast	University of Kentucky, Department of Astronomy
	4532	Virginia Mil Inst	Virginia Military Institute
	4536	William Jewell Coll	William Jewell College
	4550	Nebraska Wesleyan U	Nebraska Wesleyan University
	4566	Linkoping U 	Linkoping University
	4569	Benedictine U	Benedictine University
	4571	Sthrn Cross U	Southern Cross University
	4578	LLNL	Lawrence Livermore National Laboratory
4578	A1213	LLNL Inst Geop Plan Phy	Lawrence Livermore National Laboratory, Institute for Geophysics and Planetary Physics
4578	A1215	LLNL Phy Div	Lawrence Livermore National Laboratory, Physics Division
4578	A1216	LLNL Earth Sci Div	Lawrence Livermore National Laboratory, Earth Sciences Division
4578	A1217	LLNL Nuc Div	Lawrence Livermore National Laboratory, Nuclear Division
	4589	Liverpool JMU	Liverpool John Moores University, UK
4589	151602	Liverpool JMU Astrop Res Inst	Liverpool John Moores University, Astrophysics Research Institute
	4591	U Liverpool	University of Liverpool, UK
4591	105170	U Liverpool Sch Env Sci	University of Liverpool, School of Environmental Sciences
4591	151585	U Liverpool Dep Earth Ocean Ecol Sci	University of Liverpool, Department of Earth, Ocean and Ecological Sciences
4591	151587	U Liverpool Dep Phy	University of Liverpool, Department of Physics
	4606	Utah St U	Utah State University
4606	A1155	Utah St U Ctr Atmos Sp Sci	Utah State University, Center for Atmospheric and Space Science
4606	A1156	Utah St U Sp Dyn Lab	Utah State University, Space Dynamics Laboratory
	4615	Imp Coll London	Imperial College, London
4615	152933	Imp Coll Dep Chem Eng	Imperial College, Department of Chemical Engineering
4615	152935	Imp Coll Dep Earth Sci Eng	Imperial College, Department of Earth Science and Engineering
4615	152936	Imp Coll Roy Sch Mines	Imperial College, Royal School of Mines
4615	218235	Imp Coll Dep Chem	Imperial College, Department of Chemistry
4615	226072	Imp Coll Dep Phy	Imperial College, Department of Physics
4615	A1760	Imp Coll Astrop Group	Imperial College, Astrophysics Group
4615	A1761	Imp Coll Sp Atmos Res Ctr	Imperial College, Space and Atmosphere Research Center
4616	A1763	Kings Coll London Dep Phy	Kings College London, Department of Physics
	4617	Queen Mary U UK	Queen Mary University, UK
4617	390399	Queen Mary U Sch Phy Ast	Queen Mary University, School of Physics and Astronomy
4617	A1768	SEPnet	South-East Physics Network
	4633	British Aero Sys	British Aerospace Systems, PLC
4894	387591	Birkbeck U London Dep Earth Plan Sci	Birkbeck University of London, Department of Earth and Planetary Sciences
4894	387681	Ctr Plan Sci UCL/Birkbeck	Center for Planetary Sciences at UCL/Birkbeck
	4895	City U London	City University London
	4905	London Sch Econ	London School of Economics
	4907	Middlesex U	Middlesex University, UK
	4914	London S Bank U	London South Bank University, UK
	4918	U Greenwich	University of Greenwich, UK
4919	152582	U Coll London Dep Earth Sci	University College London, Department of Earth Sciences
4919	154299	U Coll London Dep Phy Ast	University College London, Department of Physics and Astronomy
4919	387681	Ctr Plan Sci UCL/Birkbeck	Center for Planetary Sciences at UCL/Birkbeck
4919	53255	U London Obs	University of London Observatory
4919	A1762	U Coll London Mullard Sp Sci Lab	University College London, Mullard Space Science Laboratory
	4921	U Westminster	University of Westminster, UK
	4946	British Mus Nat Hist	British Museum of Natural History
	5033	Ryl Dutch Shell	Royal Dutch Shell
5033	358022	Showa Shell	Showa Shell, Sekiyu
	5104	U Sthrn Miss	University of Southern Mississippi
	5105	Boeing	The Boeing Company
5105	325827	Boeing CA	Boeing, California
5105	61815	Boeing Seattle	Boeing, Seattle
5105	A1224	McDonnell Douglas Aero	McDonnell Douglas Aerospace
	5108	U Ctr Svalbard	University Center in Svalbard
	5112	LANL	Los Alamos National Laboratory
5112	A1166	LANL Astrop	Los Alamos National Laboratory, Astrophysics
5112	A1167	LANL Phy	Los Alamos National Laboratory, Physics
5112	A1168	LANL Sp Sci	Los Alamos National Laboratory, Space Sciences
5112	A1169	LANL Theo Div	Los Alamos National Laboratory, Theoretical Division
5112	A3043	LANL EES	Los Alamos National Laboratory, Earth and Environmental Sciences
	5116	USC	University of Southern California
5116	166576	USC Dep Earth Sci	University of Southern California, Department of Earth Sciences
5116	A1202	USC Dep Phy Ast	University of Southern California, Department of Physics and Astronomy
	5121	Occidental Coll	Occidental College
	5143	Loyola Marymount U	Loyola Marymount University
	5152	Northrop Grumman Aero 	Northrop Grumman Aerospace
5152	61831	Northrop Redondo Beach	Northrop Grumman Aerospace, Redondo Beach
5152	A1226	TRW	TRW
	5153	Aero Co	Aerospace Corporation
	5156	Loughborough U	Loughborough University, UK
	5158	3M	3M Company
	5160	Louisiana Tech U	Louisiana Tech University
	5170	U Louisville	University of Louisville
	5173	Siena Coll	Siena College
	5180	Geo Nuc Sci	Geological and Nuclear Science Ltd
	5185	Lulea U Tech 	Lulea University of Technology
	5193	U Lund 	University of Lund
5193	101103	Lund U Inst Tech 	Lund University Institute of Technology
5193	111165	Lund Obs 	Lund Observatory
5193	132076	U Lund Dep Phy 	University of Lund, Department of Physics
5193	368845	U Lund Dep Ast	University of Lund, Department of Astronomy
5193	A3016	Swedish Inst Sp Phy Lund 	Swedish Institute of Space Physics, Lund
	5195	U Bedfordshire	University of Bedfordshire, UK
	5205	DTU	Technical University of Denmark, Lyngby
5205	243281	DTU Phy Lyngby	DTU Physics, Lyngby
5205	68226	DTU Inst Sp Res Tech	DTU, Institute for Space Research and Technology
5205	A3008	DTU Danish Litho Ctr	DTU, Danish Lithosphere Center
5205	A3012	DTU Riso Natl Lab	DTU, Riso National Laboratory
	5221	West Illinois U	Western Illinois University
	5225	Mercer U	Mercer University
5228	A3035	U Wisc Madison Dep Atm Ocean Sci	University of Wisconsin, Madison, Department of Atmospheric Oceanic Sciences
5228	124349	U Wisc Madison Dep Geol Geop	University of Wisconsin, Madison, Department of Geology and Geophysics
5228	206020	U Wisc Madison Dep Phy	University of Wisconsin, Madison, Department of Physics
5228	293358	U Wisc Madison SSEC	University of Wisconsin, Madison, Space Science and Engineering Center
5228	312693	U Wisc Madison Dep Ast	University of Wisconsin, Madison, Department of Astronomy
5228	A1127	U Wisc Madison Washburn Obs	University of Wisconsin, Madison, Washburn Observatory
	5229	U Wisc	University of Wisconsin
5229	14747	U Wisc Eau Claire	University of Wisconsin, Eau Claire
5229	14749	U Wisc Green Bay	University of Wisconsin, Green Bay
5229	14750	U Wisc La Crosse	University of Wisconsin, La Crosse
5229	14751	U Wisc Milwaukee	University of Wisconsin, Milwaukee
5229	14752	U Wisc Oshkosh	University of Wisconsin, Oshkosh
5229	14753	U Wisc Parkside	University of Wisconsin, Parkside
5229	14754	U Wisc Platteville	University of Wisconsin, Platteville
5229	14755	U Wisc River Falls	University of Wisconsin, River Falls
5229	14756	U Wisc Stevens Point	University of Wisconsin, Stevens Point
5229	14757	U Wisc Stout	University of Wisconsin, Stout
5229	14759	U Wisc Whitewater	University of Wisconsin, Whitewater
5229	14766	U Wisc Marathon County	University of Wisconsin, Marathon County
5229	5228	U Wisc Madison	University of Wisconsin, Madison
	5235	Middle Tenn St U	Middle Tennessee State University
	5237	Drew U	Drew University
	5262	Pepperdine U	Pepperdine University
	5264	Malmo U 	Malmo University
	5289	Manchester Metro U	Manchester Metropolitan University, UK
	5292	U Manchester	University of Manchester, UK
5292	151629	U Manchester Sch Earth Atmos Env Sci	University of Manchester, School of Earth Atmospheric and Environmental Sciences
5292	151632	U Manchester Sch Phy Ast	University of Manchester, School of Physics and Astronomy
5292	223923	UMIST	University of Manchester, Institute of Science and Technology
5292	347652	Jodrell Bank Ctr Astrop	Jodrell Bank Center for Astrophysics
	5308	Kansas St U	Kansas State University
5308	A1108	Kansas St U Dep Phy	Kansas State University, Department of Physics
	5322	Marietta Coll	Marietta College
	5329	Marlboro Coll	Marlboro College
	5330	Marlborough Coll UK	Marlborough College, UK
	5336	Nrthn Mich U	Northern Michigan University
	5368	Allegheny Coll	Allegheny College
	5376	RMIT	RMIT Institute of Technology, Melbourne
	5399	Victoria U Tech	Victoria University of Technology, Melbourne
	5401	FL Inst Tech	Florida Institute of Technology
5401	A1059	FL Inst Tech SARA Obs	Florida Institute of Technology, SARA Observatory
5401	A1060	FL Inst Tech Dep Phy Sp Sci	Florida Institute of Technology, Department of Physics and Space Science
	5414	Rhodes Coll	Rhodes College
	5415	U Memphis	University of Memphis
	5419	ANSTO	Australian Nuclear Science and Technology Organization
	5452	U Miami	University of Miami
5452	362673	U Miami Mar Geol Geop	University of Miami, Division of Marine Geology and Geophysics
5452	96722	U Miami Mar Atmos Sci	University of Miami, Rosenstiel School of Marine and Atmospheric Science
5452	A1061	U Miami Dep Phy	University of Miami, Department of Physics
	5457	Middlebury Coll	Middlebury College
	5462	Teesside U	Teesside University, UK
	5470	Dow	Dow Chemical Corporation
	5482	Millersville U	Millersville University
	5488	Open U Milton Keynes	Open University Milton Keynes
5488	212058	Open U Scotland	Open University Scotland
5488	218242	Open U Dep Earth Env Sci	Open University, Department of Earth and Environmental Sciences
5488	218243	Open U Dep Phy Sci	Open University, Department of Physical Sciences
5488	218244	CEPSAR	Center for Earth Planetary Space and Astronomical Research
5488	57369	Open U	Open University Oxford
5488	A1768	SEPnet	South-East Physics Network
	5505	Marquette U	Marquette University
	5506	Med Coll Wisconsin	Medical College of Wisconsin
	5517	Augsburg Coll	Augsburg College
	5547	Miss St U	Mississippi State University
	5557	U S Alabama	University of South Alabama
	5568	U Moncton	University of Moncton, Canada
	5571	West Oregon U	Western Oregon University
	5578	U Montevallo	University of Montevallo, Alabama
	5596	Ecole Poly Montreal	Ecole Polytechnique de Montreal
5596	A3034	GEOTOP	GEOTOP Research Center, Canada
	5618	Concordia U	Concordia University, Canada
	5620	McGill U	McGill University
5620	A1729	CRAQ	Center for Research in Astrophysics of Quebec
5620	A1730	Mont Megantic Obs	Mont Megantic Observatory
5620	A1732	McGill U Dep Earth Plan Sci	McGill University, Department of Earth and Planetary Sciences
5620	A1754	McGill U Dep Phy	McGill University, Department of Physics
5620	A3034	GEOTOP	GEOTOP Research Center, Canada
	5622	U Montreal	University of Montreal, Canada
5622	204252	U Montreal Dep Phy	University of Montreal, Department of Physics
5622	236712	U Montreal Ctr Res Math	University of Montreal, Center for Research in Mathematics
5622	A1729	CRAQ	Center for Research in Astrophysics of Quebec
5622	A1746	U Montreal Dep Ast	University of Montreal, Department of Astronomy
5622	A3034	GEOTOP	GEOTOP Research Center, Canada
	5623	U Quebec	University of Quebec, Canada
5623	14646	U Quebec Rimouski	University of Quebec, Rimouski
5623	14661	U Quebec Chicoutimi	University of Quebec, Chicoutimi
5623	14845	UQAM	University of Quebec, Montreal
5623	14847	UQTR	University of Quebec, Trois Rivieres
5623	14851	INRS	National Institute for Scientific Research, Canada
5623	A3034	GEOTOP	GEOTOP Research Center, Canada
	5628	St Marys Coll	Saint Marys College
	5629	Concordia Coll	Concordia College
	5630	Morehead St U	Morehead State University
	5631	W Virginia U	West Virginia University
5635	172302	UMN Dep Ast	University of Minnesota, Department of Astronomy
5635	172309	UMN Dep Earth Sci	University of Minnesota, Department of Earth Sciences
5635	A1020	UMN Dep Phy	University of Minnesota, Department of Physics
5635	A1021	UMN Dep Geol Geop	University of Minnesota, Department of Geology and Geophysics
	5640	U Idaho	University of Idaho
5640	140531	U Idaho Boise	University of Idaho, Boise
	5641	Monterey Bay Aq Res Inst	Monterey Bay Aquarium Research Institute
	5649	Cen Mich U	Central Michigan University
	5651	Cornell Coll	Cornell College
	5659	Berry Coll	Berry College
	5666	Ball St U	Ball State University
	5673	Murdoch U	Murdoch University
	5675	Murray St U	Murray State University
	5687	Stephen F Austin St U	Stephen F Austin State University
	5716	Fisk U	Fisk University
	5717	Tenn St U	Tennessee State University
	5718	Vanderbilt U	Vanderbilt University
5718	A1017	Vanderbilt U Dep Phy Ast	Vanderbilt University, Department of Physics and Astronomy
5718	A1018	Vanderbilt U Dyer Obs	Vanderbilt University, Dyer Observatory
	5723	Griffith U	Griffith University
	5755	Yale U	Yale University
5755	116473	Yale U Dep Geol Geop	Yale University, Department of Geology and Geophysics
5755	198903	Yale U Dep Chem	Yale University, Department of Chemistry
5755	198981	Yale U Dep Ast	Yale University, Department of Astronomy
5755	198982	Yale U Dep Geol Geop	Yale University, Department of Geology and Geophysics
5755	198983	Yale U Dep Phy	Yale University, Department of Physics
5755	A1708	Yale Sthrn Obs	Yale Southern Observatory
	5766	Connecticut Coll	Connecticut College
	5773	U Nrthn Alabama	University of North Alabama
	5779	LSU	Louisiana State University
5779	242454	LSU Dep Phy Ast	Louisiana State University, Department of Physics and Astronomy
5779	A1101	LSU Dep Geol Geop	Louisiana State University, Department of Geology and Geophysics
	5780	Loyola U New Orleans	Loyola University New Orleans
	5781	Sthrn U New Orleans	Southern University New Orleans
	5783	Tulane U	Tulane University
	5784	U New Orleans	University of New Orleans
	5791	Iona Coll	Iona College
	5794	Westminster Coll	Westminster College
	5798	Columbia U	Columbia University
5798	139207	Columbia U Dep Phy	Columbia University, Department of Physics
5798	155355	Columbia U Dep Ast Astrop	Columbia University, Department of Astronomy and Astrophysics
5798	156203	Columbia U Dep Chem	Columbia University, Department of Chemistry
5798	191166	Columbia U Dep Earth Sci	Columbia University, Department of Earth Sciences
5798	57699	Lamont-Doherty Earth Obs	Lamont-Doherty Earth Observatory
5798	5919	Barnard Coll	Barnard College
5798	97058	Goddard Inst Sp Stud	Goddard Institute for Space Studies
	5844	Marymount Manhattan Coll	Marymount Manhattan College
	5845	Niagara U	Niagara University
	5894	NYU	New York University
5894	167632	NYU Abu Dhabi	New York University, Abu Dhabi
5894	34242	NYU Poly Inst	New York University Polytechnic Institute
5894	67240	NYU Courant Inst	New York University, Courant Institute of Mathmatical Sciences
5894	A1028	NYU Dep Phys/CCPP	New York University, Department of Physics/CCPP
	5897	US Steel	United States Steel Corporation
	5922	Cornell U	Cornell University
5922	12295	Cornell U Medical Coll	Cornell University Medical College
5922	171540	Cornell U Sch App Phy	Cornell University, School of Applied Physics
5922	251791	Cornell U Dep Chem	Cornell University, Department of Chemistry
5922	251807	Cornell U Dep Ast/Ctr Radiophy Sp Res	Cornell University, Department of Astronomy/Center for Radiophysics and Space Research
5922	251809	Cornell U Dep Phy	Cornell University, Department of Physics
5922	251813	Cornell U Dep Comp Sci	Cornell University, Department of Computer Science
5922	47790	Cornell U Dep Earth Atmos Sci	Cornell University, Department of Earth and Atmospheric Sciences
5922	428456	CHESS	Cornell University, High Energy Synchrotron Source
5922	70235	Cornell U Sch Eng	Cornell University, School of Engineering
5922	A1679	Cornell Sydney U	Cornell Sydney University
	5923	Fordham U	Fordham University
	5926	New Sch U	New School University
	5929	Rockefeller U	Rockefeller University
	5963	AMNH	American Museum of Natural History
	5965	NJIT	New Jersey Institute of Technology
5965	A1037	Big Bear Solar Obs	NJIT, Big Bear Solar Observatory
5965	A1038	NJIT Ctr Solar Terr Res	NJIT, Center for Solar Terrestrial Research
5965	A1039	NJIT Dep Phy	NJIT, Department of Physics
	5970	Rutgers U	Rutgers University
5970	145745	Rutgers U Dep Earth Plan Sci	Rutgers University, Department of Earth and Planetary Sciences
5970	172333	Rutgers U Dep Phy Ast	Rutgers University, Department of Physics and Astronomy
	5972	U Delaware	University of Delaware
5972	172293	U Delaware Bartol Res Inst	University of Delaware, Bartol Research Institute
	5982	U Newcastle	University of Newcastle
5982	234783	U Newcastle Sch Math Phy Sci	University of Newcastle, School of Mathematical and Physical Sciences
	5994	Newcastle U	Newcastle University Upon Tyne, UK
5994	151502	Newcastle U Dep Math	Newcastle University Upon Tyne, Department of Mathematics
5994	A1764	Newcastle U Dep Phy	Newcastle University Upon Tyne, Department of Physics
	5995	Northumbria U	Northumbria University, UK
	6013	Chr Newport U	Christopher Newport University
	6025	Bucks County Comm Coll	Bucks County Community College
	6029	Radboud U Nijmegen	Radboud Universiteit Nijmegen
6029	226197	Radboud U Nijmegen Dep Ast Phy	Radboud Universiteit Nijmegen, Department of Astronomy and Physics
	6041	Norfolk St U	Norfolk State University
	6042	Old Dominion U	Old Dominion University
	6048	Alabama A&M U	Alabama A&M University
	6049	Illinois St U Normal	Illinois State University, Normal
	6087	U Northampton	University of Northampton, UK
	6089	Smith Coll	Smith College
6089	A1027	Five Coll Rad Ast Obs	Five College Radio Astronomy Observatory
	6091	Norwich U	Norwich University
	6092	Carleton Coll	Carleton College
	6093	St Olaf Coll	Saint Olaf College
	6097	Wheaton Coll IL	Wheaton College, Illinois
	6106	U E Anglia	University of East Anglia, UK
	6111	U Notre Dame	University of Notre Dame
6111	A1092	U Notre Dame Dep Phy	University of Notre Dame, Department of Physics
6111	A1093	U Notre Dame Ctr Astrop	University of Notre Dame, Center for Astrophysics
	6122	Nottingham Trent U	Nottingham Trent University, UK
	6123	U Nottingham	University of Nottingham, UK
6123	56668	U Nottingham Ningbo	University of Nottingham, Ningbo
6123	69861	U Nottingham Malaysia	University of Nottingham, Malaysia
6123	309936	U Nottingham Sch Phy Ast	University of Nottingham, School of Physics and Astronomy
	6146	ORNL	Oak Ridge National Laboratory
6146	A1053	ORNL Phy Div	Oak Ridge National Laboratory, Physics Division
	6167	Oberlin Coll	Oberlin College
	6174	U Sthrn Denmark Odense	University of Southern Denmark, Odense
	6177	TX Tech U	Texas Technological University
	6181	Weber St U	Weber State University
	6186	U Oklahoma Oklahoma City	University of Oklahoma, Oklahoma City
	6187	U Oklahoma Norman	University of Oklahoma, Norman
6187	188972	CIMMS	Cooperative Institute for Mesoscale Meteorological Studies
6187	A1112	U Oklahoma Dep Phy Ast	University of Oklahoma, Department of Physics and Astronomy
	6196	NY Inst Tech	New York Institute of Technology
	6216	Creighton U	Creighton University
	6218	Hartwick Coll	Hartwick College
	6221	U W Ontario	University of Western Ontario, Canada
6221	A1740	U W Ontario Dep Phy Ast	University of Western Ontario, Department of Physics and Astronomy
6221	A1741	U W Ontario Dep Earth Sci	University of Western Ontario, Department of Earth Sciences
	6226	Chapman U	Chapman University
	6227	Lamar U	Lamar University
	6230	S Carolina St U	South Carolina State University
	6233	Orebro U	Orebro University
	6234	Utah Valley U	Utah Valley University
	6243	U Cen FL	University of Central Florida
6243	A1056	U Cen FL Dep Phy	University of Central Florida, Department of Physics
6243	A1057	U Cen FL Coll Opt Phot	University of Central Florida, College of Optics and Photonics
	6250	U Maine	University of Maine, Orono
6250	115973	U Maine Walpole	University of Maine, Walpole
	6252	Matsushita Elec Ind	Matsushita Electric Industrial Corporation
	6305	U Oslo	University of Oslo
6305	201249	U Oslo Dep Chem	University of Oslo, Department of Chemistry
6305	259823	ESST	Society Science and Technology in Europe Program
6305	329008	U Oslo Dep Phy	University of Oslo, Department of Physics
6305	87350	U Oslo Ctr Cli Env Res	University of Oslo, Center for Climate and Environmental Research
6305	87506	U Oslo Dep Geos	University of Oslo, Department of Geosciences
6305	A1298	U Oslo Inst Theo Astrop	University of Oslo, Institute of Theoretical Astrophysics
6305	A3054	U Oslo CEED	University of Oslo, Center for Earth Evolution and Dynamics
	6311	Mid Sweden U	Mid Sweden University
	6313	Can Dep Natl Def	Canada Department of National Defense
6313	60455	Def Res Dev Can	Defense Research and Development Canada
6313	85459	Ryl Mil Coll Can	Royal Military College of Canada
	6314	Nat Resources Can	Natural Resources Canada
6314	113236	GSCQ	Geological Survey of Canada Quebec
6314	113445	Nat Resources Can Dep Earth Sci	Natural Resources Canada, Department of Earth Sciences
6314	113498	GSCC	Geological Survey of Canada Calgary
6314	186595	GSCA	Geological Survey of Canada Atlantic
6314	270611	GSCP	Geological Survey of Canada Pacific
	6339	Carleton U	Carleton University, Canada
	6344	Can DFO	Canadian Department of Fisheries and Oceans
6344	111138	DFO Quebec	Department of Fisheries and Oceans, Maurice Lamontagne Institute, Quebec
6344	111142	DFO Pacific	Department of Fisheries and Oceans, Pacific Region
6344	111144	DFO Atlantic	Department of Fisheries and Oceans, Atlantic Region
6344	111145	DFO Central	Department of Fisheries and Oceans, Central Region
6344	41691	DFO Gulf	Department of Fisheries and Oceans, Gulf Region
	6347	Env Can	Environment Canada
6347	113197	Met Svc Can	Meteorological Service of Canada
6347	2085	NWRI Can	National Water Research Institute, Canada
	6352	Intl Dev Res Ctr	International Development Research Center
6352	108036	Intl Dev Res Ctr Senegal	International Development Research Center, Senegal
	6356	NRC Can	National Research Council, Canada
6356	10084	TRIUMF	TRIUMF
6356	103199	Herzberg Inst Ast Astrop	Herzberg Institute for Astronomy and Astrophysics
6356	124088	DRAO	Dominion Radio Astrophysical Observatory
	6363	U Ottawa	University of Ottawa, Canada
6363	151178	U Ottawa Dep Earth Sci	University of Ottawa, Department of Earth Sciences
6363	151180	U Ottawa Dep Phy	University of Ottawa, Department of Physics
	6370	U Oulu	University of Oulu
6370	A3001	U Oulu Dep Phy	University of Oulu, Department of Physics
6370	A3002	U Oulu Div Ast	University of Oulu, Division of Astronomy
6370	A3004	Sodankyla Geop Obs	Sodankyla Geophysical Observatory
	6395	Oxford Brookes U	Oxford Brookes University, UK
	6396	U Oxford	University of Oxford, UK
6396	145276	Oxford Dep Phy	University of Oxford, Department of Physics
6396	61466	Oxford Brasenose Coll	University of Oxford Brasenose College
6396	61481	Oxford Magdalen Coll	University of Oxford Magdalen College
6396	61483	Oxford Merton Coll	University of Oxford Merton College
6396	61493	Oxford St Catherines Coll	University of Oxford Saint Catherines College
6396	61498	Oxford St Johns Coll	University of Oxford Saint Johns College
6396	61503	Oxford Trinity Coll	University of Oxford Trinity College
6396	61504	Oxford U Coll Oxford	University of Oxford University College Oxford
6396	61505	Oxford Wadham Coll	University of Oxford Wadham College
6396	61506	Oxford Wolfson Coll	University of Oxford Wolfson College
6396	66089	Oxford Math Inst	University of Oxford, Mathematical Institute
6396	69308	Oxford Dep Earth Sci	University of Oxford, Department of Earth Sciences
6396	98956	Oxford Dep Eng	University of Oxford, Department of Engineering
6396	A1759	Oxford Dep Astrop	University of Oxford, Department of Astrophysics
	6413	U W Scotland	University of the West of Scotland
	6420	Massey U	Massey University
	6425	HP	Hewlett Packard Ltd
	6429	Stanford U	Stanford University
6429	164890	Stanford U Sch Earth Sci	Stanford University, School of Earth Sciences
